UID,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
3811,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",3/13/2015,2:44:00,Atlas V 421,MMS,Active,123,Success
3812,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",3/25/2015,18:36:00,"Delta IV Medium+ (4,2)",GPS IIF-9,Retired,164,Success
3813,Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",3/25/2015,22:08:00,Dnepr,KompSat-3A,Retired,29,Success
3814,MHI,"LA-Y1, Tanegashima Space Center, Japan",3/26/2015,1:21:00,H-IIA 202,IGS-Optical 5,Active,90,Success
3815,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",3/27/2015,21:46:00,Soyuz ST-B/Fregat-MT,Galileo FOC FM03-FM04,Active,30,Success
3816,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",3/28/2015,11:49:00,PSLV-XL,IRNSS-1D,Active,31,Success
3817,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",3/31/2015,13:47:00,Rokot/Briz KM,Cosmos 2504 & Goniets-M 21 to 23,Retired,41.8,Success
3818,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/15/2015,20:10:00,Falcon 9 v1.1,CRS-6,Retired,56.5,Success
3819,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",4/26/2015,20:00:00,Ariane 5 ECA,"Thor 7, SICRAL-2",Active,200,Success
3820,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/27/2015,23:03:00,Falcon 9 v1.1,Turkmen??lem52E/MonacoSat,Retired,56.5,Success
3821,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",4/29/2015,,New Shepard,NS-1,Active,,Success
3822,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",5/20/2015,15:05:00,Atlas V 501,OTV-4,Retired,120,Success
3823,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/27/2015,21:16:00,Ariane 5 ECA,"DirecTV-15, Sky Mexico 1",Active,200,Success
3824,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",6/23/2015,1:51:00,Vega,Sentinel-2A,Active,37,Success
3825,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/28/2015,14:21:00,Falcon 9 v1.1,CRS-7,Retired,56.5,Failure
3826,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",7/10/2015,16:28:00,PSLV-XL,UK-DMC3A/B/C & Rideshares,Active,31,Success
3827,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",7/15/2015,15:36:00,Atlas V 401,GPS IIF-10,Active,109,Success
3828,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/15/2015,21:42:00,Ariane 5 ECA,"Star One C4, MSG-4",Active,200,Success
3829,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",7/24/2015,0:07:00,"Delta IV Medium+ (5,4)",WGS-7,Retired,,Success
3830,MHI,"LA-Y2, Tanegashima Space Center, Japan",8/19/2015,11:50:00,H-IIB,HTV-5,Retired,112.5,Success
3831,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/20/2015,20:34:00,Ariane 5 ECA,"Eutelsat 8 West B, Intelsat 34",Active,200,Success
3832,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",8/27/2015,11:22:00,GSLV Mk II,GSAT-6,Active,47,Success
3833,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",9/2/2015,10:18:00,Atlas V 551,MUOS-4,Active,153,Success
3834,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",9/11/2015,2:08:00,Soyuz ST-B/Fregat-MT,Galileo FOC FM05-FM06,Active,30,Success
3835,CASC,"LC-16, Taiyuan Satellite Launch Center, China",9/19/2015,23:01:00,Long March 6,Demo Flight,Active,19,Success
3836,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",9/23/2015,21:59:00,Rokot/Briz KM,Cosmos 2507 to 2509,Retired,41.8,Success
3837,CASC,"Site 95, Jiuquan Satellite Launch Center, China",9/25/2015,,Long March 11,Pujian 1 & Others,Active,5.3,Success
3838,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/28/2015,4:30:00,PSLV-XL,Astrosat & Rideshares,Active,31,Success
3839,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/30/2015,20:30:00,Ariane 5 ECA,"NBN Co 1A, ARSAT-2",Active,200,Success
3840,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",10/2/2015,10:28:00,Atlas V 421,Morelos-3,Active,123,Success
3841,ULA,"SLC-3E, Vandenberg AFB, California, USA",10/8/2015,12:49:00,Atlas V 401,NROL-55,Active,109,Success
3842,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",10/31/2015,16:13:00,Atlas V 401,GPS IIF-11,Active,109,Success
3843,Sandia,"LP-41, Kauai, Pacific Missile Range Facility",11/4/2015,,Super Stripy,"HiakaSat, STACEM & Others",Active,15,Failure
3844,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/10/2015,21:34:00,Ariane 5 ECA,"Arabsat 6B, GSAT-15",Active,200,Success
3845,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",11/23/2015,,New Shepard,NS-2,Active,,Success
3846,MHI,"LA-Y1, Tanegashima Space Center, Japan",11/24/2015,6:50:00,H-IIA 204,Telstar 12 Vantage,Active,,Success
3847,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",12/3/2015,4:04:00,Vega,LISA Pathfinder,Active,37,Success
3848,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",12/5/2015,14:08:00,Soyuz 2.1v/Volga,Cosmos 2511 and 2512,Active,,Partial Failure
3849,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",12/6/2015,21:44:00,Atlas V 401,CRS OA-4,Active,109,Success
3850,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",12/11/2015,13:45:00,Zenit-3 SLBF,Elektro-L nâ€ Â­2,Retired,,Success
3851,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",12/16/2015,12:30:00,PSLV-CA,TeLEOS-1 & Rideshares,Active,21,Success
3852,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/17/2015,11:51:00,Soyuz ST-B/Fregat-MT,Galileo FOC FM8-FM9,Active,30,Success
3853,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/22/2015,1:29:00,Falcon 9 Block 3,OG2 Mission 2,Retired,62,Success
3854,CASC,"LC-3, Xichang Satellite Launch Center, China",1/15/2016,16:57:00,Long March 3B/E,Belintersat 1,Active,29.15,Success
3855,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",1/17/2016,18:42:00,Falcon 9 v1.1,Jason-3,Retired,56.5,Success
3856,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",1/20/2016,4:01:00,PSLV-XL,IRNSS-1E,Active,31,Success
3857,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",1/22/2016,,New Shepard,NS-3,Active,,Success
3858,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",1/27/2016,23:20:00,Ariane 5 ECA,Intelsat 29e,Active,200,Success
3859,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",1/29/2016,22:20:00,Proton-M/Briz-M,Eutelsat 9B,Active,65,Success
3860,CASC,"LC-2, Xichang Satellite Launch Center, China",2/1/2016,7:29:00,Long March 3C/YZ-1,BeiDou M3-S,Active,,Success
3861,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2/5/2016,13:38:00,Atlas V 401,GPS IIF-12,Active,109,Success
3862,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2/7/2016,0:21:00,Soyuz 2.1b/Fregat,GLONASS-M No.50S,Active,25,Success
3863,KCST,"Pad 1, Sohae Satellite Launching Station, North Korea",2/7/2016,0:30:00,Unha-3,KwangmyÂÂngsÂÂng-4,Active,,Success
3864,ULA,"SLC-6, Vandenberg AFB, California, USA",2/10/2016,11:40:00,"Delta IV Medium+ (5,2)",NROL-45,Retired,,Success
3865,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia",2/16/2016,17:57:00,Rokot/Briz KM,Sentinel-3A,Retired,41.8,Success
3866,MHI,"LA-Y1, Tanegashima Space Center, Japan",2/17/2016,8:45:00,H-IIA 202,"Astro H, Horyu 4 & Kinshachi 2 and 3",Active,90,Success
3867,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",3/4/2016,23:35:00,Falcon 9 Block 3,SES-9,Retired,62,Success
3868,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",3/9/2016,5:20:00,Ariane 5 ECA,Eutelsat 65 West A,Active,200,Success
3869,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",3/10/2016,10:31:00,PSLV-XL,IRNSS-1F,Active,31,Success
3870,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",3/13/2016,18:56:00,Soyuz 2.1b,Resurs-P No.3,Active,20,Success
3871,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",3/14/2016,9:31:00,Proton-M/Briz-M,ExoMars Trace Gas Orbiter & Schiaparelli EDM,Active,65,Success
3872,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/18/2016,21:26:00,Soyuz FG,Soyuz TMA-20M,Retired,,Success
3873,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",3/23/2016,3:05:00,Atlas V 401,CRS OA-6,Active,109,Success
3874,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",3/24/2016,9:42:00,Soyuz 2.1a,Bars-M 2L,Active,17.42,Success
3875,CASC,"LC-2, Xichang Satellite Launch Center, China",3/29/2016,20:11:00,Long March 3A,BeiDou IGSO-6,Active,69.7,Success
3876,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",3/31/2016,16:23:00,Soyuz 2.1a,Progress MS-02,Active,17.42,Success
3877,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",4/2/2016,,New Shepard,NS-4,Active,,Success
3878,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",4/5/2016,17:38:00,Long March 2D,Shijian-10,Active,29.75,Success
3879,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/8/2016,20:43:00,Falcon 9 Block 3,CRS-8,Retired,62,Success
3880,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",4/25/2016,21:02:00,Soyuz ST-A/Fregat-M,"Sentinel 1B, MICROSCOPE & Others",Active,30,Success
3881,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",4/28/2016,2:01:00,Soyuz 2.1a/Volga,"Mikhailo Lomonosov, Aist-2D, & SamSat 218",Active,,Success
3882,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/28/2016,7:20:00,PSLV-XL,IRNSS-1G,Active,31,Success
