UID,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
1,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/4/1957,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,,Success
2,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/3/1957,2:30:00,Sputnik 8K71PS,Sputnik-2,Retired,,Success
3,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",12/6/1957,16:44:00,Vanguard,Vanguard TV3,Retired,,Failure
4,AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",2/1/1958,3:48:00,Juno I,Explorer 1,Retired,,Success
5,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",2/5/1958,7:33:00,Vanguard,Vanguard TV3BU,Retired,,Failure
6,AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",3/5/1958,18:27:00,Juno I,Explorer 2,Retired,,Failure
7,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",3/17/1958,12:15:00,Vanguard,Vanguard 1,Retired,,Success
8,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",3/26/1958,17:38:00,Juno I,Explorer 3,Retired,,Success
9,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/27/1958,9:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,,Failure
10,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",4/28/1958,2:53:00,Vanguard,Vanguard TV5,Retired,,Failure
11,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",5/15/1958,7:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,,Success
12,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",5/28/1958,3:46:00,Vanguard,Vanguard SLV-1,Retired,,Failure
13,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",6/26/1958,5:00:00,Vanguard,Vanguard SLV-2,Retired,,Failure
14,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",7/25/1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,,Failure
15,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",7/26/1958,15:00:00,Juno I,Explorer 4,Retired,,Success
16,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",8/12/1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,,Failure
17,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",8/17/1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,,Failure
18,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",8/22/1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,,Failure
19,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",8/24/1958,6:17:00,Juno I,Explorer 5,Retired,,Failure
20,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",8/25/1958,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,,Failure
21,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",8/26/1958,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,,Failure
22,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",8/29/1958,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,,Failure
23,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",9/23/1958,7:40:00,Vostok,E-1 nâ€ Â­1 (Luna-1),Retired,,Failure
24,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",9/26/1958,15:38:00,Vanguard,Vanguard SLV-3,Retired,,Failure
25,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",10/11/1958,8:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure
26,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/11/1958,21:41:00,Vostok,E-1 nâ€ Â­2 (Luna-1),Retired,,Failure
27,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",10/23/1958,3:21:00,Juno I,Beacon 1,Retired,,Failure
28,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/8/1958,7:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure
29,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/4/1958,18:18:00,Vostok,E-1 nâ€ Â­3 (Luna-1),Retired,,Failure
30,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",12/6/1958,5:44:00,Juno II,Pioneer 3,Retired,,Partial Failure
31,US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",12/18/1958,23:02:00,SM-65B Atlas,SCORE,Retired,,Success
32,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1/2/1959,16:41:00,Vostok,Luna-1,Retired,,Partial Failure
33,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",2/17/1959,15:55:00,Vanguard,Vanguard 2,Retired,,Success
34,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",2/28/1959,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,,Failure
35,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",4/13/1959,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,,Success
36,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",4/14/1959,2:49:00,Vanguard,Vanguard SLV-5,Retired,,Failure
37,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",6/3/1959,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,,Failure
38,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/18/1959,8:08:00,Vostok,E-1A nâ€ Â­1 (Luna-2),Retired,,Failure
39,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",6/22/1959,20:16:00,Vanguard,Vanguard SLV-6,Retired,,Failure
40,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",6/25/1959,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,,Failure
41,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",8/7/1959,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,,Success
42,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",8/13/1959,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,,Success
43,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",8/19/1959,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,,Success
44,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",9/9/1959,8:19:00,Atlas-D Mercury,Big Joe 1,Retired,,Partial Failure
45,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",9/12/1959,6:39:00,Vostok,Luna-2,Retired,,Success
46,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",9/17/1959,14:34:00,Thor DM-18 Able-II,Transit 1A,Retired,,Failure
47,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",9/18/1959,5:20:00,Vanguard,Vanguard 3,Retired,,Partial Failure
48,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/4/1959,0:43:00,Vostok,Luna-3,Retired,,Success
49,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",11/7/1959,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,,Success
50,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",11/20/1959,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,,Failure
51,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",11/26/1959,7:26:00,Atlas-D Able,Pioneer P-3,Retired,,Failure
52,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",2/4/1960,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,,Failure
53,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",2/19/1960,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,,Failure
54,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",2/26/1960,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,,Failure
55,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",3/11/1960,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,,Success
56,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",4/1/1960,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,,Success
57,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",4/13/1960,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,,Success
58,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/15/1960,15:06:00,Vostok,E-3 nâ€ Â­2 (Luna-3),Retired,,Failure
59,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",4/15/1960,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,,Success
60,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/16/1960,,Vostok,E-3 nâ€ Â­3 (Luna-3),Retired,,Failure
61,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",5/13/1960,9:16:00,Thor DM-19 Delta,Echo 1,Retired,,Failure
62,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",5/15/1960,0:00:00,Vostok,Korabl-Sputnik 1,Retired,,Success
63,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",5/24/1960,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,,Success
64,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",6/22/1960,5:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,,Success
65,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",6/29/1960,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,,Failure
66,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",7/28/1960,9:31:00,Vostok,1K nâ€ Â­2 (Korabl-Sputnik 2),Retired,,Failure
67,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",7/29/1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,,Failure
68,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",8/10/1960,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,,Success
69,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",8/12/1960,9:39:00,Thor DM-19 Delta,Echo 1A,Retired,,Success
70,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",8/18/1960,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,,Success
71,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",8/18/1960,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,,Failure
72,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",8/19/1960,8:44:00,Vostok,Korabl-Sputnik 2,Retired,,Success
73,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",9/13/1960,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,,Success
74,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",9/25/1960,15:13:00,Atlas-D Able,Pioneer P-30,Retired,,Failure
75,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/4/1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,,Success
76,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/10/1960,14:27:00,Molniya,1M nâ€ Â­1 (Marsnik 1),Retired,,Failure
77,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",10/11/1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,,Failure
78,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/14/1960,13:51:00,Molniya,1M nâ€ Â­2 (Marsnik 2),Retired,,Failure
79,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",10/26/1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,,Failure
80,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",11/12/1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,,Success
81,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",11/21/1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,,Failure
82,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/23/1960,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,,Success
83,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",11/30/1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,,Failure
84,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/1/1960,7:30:00,Vostok,Korabl-Sputnik 3,Retired,,Success
85,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",12/4/1960,21:14:00,Scout X-1,Explorer (S-56),Retired,,Failure
86,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12/7/1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,,Success
87,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",12/15/1960,9:10:00,Atlas-D Able,Pioneer P-31,Retired,,Failure
88,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",12/19/1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,,Success
89,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/20/1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,,Success
90,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/22/1960,7:45:00,Vostok,1K nâ€ Â­5 (Korabl-Sputnik 3),Retired,,Failure
91,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1/31/1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,,Success
92,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1/31/1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,,Success
93,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2/4/1961,1:18:00,Molniya,1VA nâ€ Â­1 (Venera 1),Retired,,Failure
94,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2/12/1961,0:34:00,Molniya,Venera 1,Retired,,Success
95,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",2/16/1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,,Success
96,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",2/17/1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,,Success
97,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",2/18/1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,,Success
98,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",2/21/1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,,Success
99,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",2/22/1961,3:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,,Success
100,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/9/1961,6:29:00,Vostok,Korabl-Sputnik 4,Retired,,Success
101,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",3/24/1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,,Success
102,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/25/1961,5:54:00,Vostok,Korabl-Sputnik 5,Retired,,Success
103,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",3/25/1961,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,,Success
104,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",3/30/1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,,Failure
105,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",4/8/1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,,Success
106,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/12/1961,6:07:00,Vostok,Vostok 1,Retired,,Success
107,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",4/25/1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,,Failure
108,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",5/5/1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,,Success
109,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",6/8/1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,,Failure
110,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",6/16/1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,,Success
111,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",6/29/1961,4:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,,Success
112,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",6/30/1961,17:09:00,Scout X-1,Explorer (S-55),Retired,,Failure
113,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",7/7/1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,,Success
114,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",7/12/1961,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,,Success
115,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",7/12/1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,,Success
116,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",7/21/1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,,Success
117,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",7/21/1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,,Failure
118,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",8/4/1961,0:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,,Failure
119,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",8/6/1961,6:00:00,Vostok,Vostok 2,Retired,,Success
120,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",8/16/1961,3:21:00,Thor DM-19 Delta,Explorer 12,Retired,,Success
121,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",8/23/1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,,Failure
122,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",8/25/1961,18:29:00,Scout X-1,Explorer 13,Retired,,Partial Failure
123,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",8/30/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,,Success
124,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",9/9/1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,,Failure
125,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",9/12/1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,,Success
126,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",9/13/1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,,Success
127,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",9/17/1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,,Success
128,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",10/13/1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,,Success
129,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",10/21/1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,,Partial Failure
130,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",10/23/1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,,Failure
131,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",10/27/1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,,Failure
132,NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",11/1/1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,,Failure
133,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",11/5/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,,Failure
134,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",11/15/1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,,Success
135,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",11/15/1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,,Success
136,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",11/18/1961,8:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,,Failure
137,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",11/22/1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,,Failure
138,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",11/29/1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,,Success
139,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/11/1961,9:39:00,Vostok,Zenit-2 nâ€ Â­1,Retired,,Failure
140,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12/12/1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,,Success
141,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",12/21/1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,,Failure
142,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",12/22/1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,,Partial Failure
143,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1/13/1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,,Failure
144,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1/24/1962,9:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,,Failure
145,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1/26/1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,,Partial Failure
146,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",2/8/1962,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,,Success
147,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",2/20/1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,,Success
148,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",2/21/1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,,Partial Failure
149,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",2/27/1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,,Success
150,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",3/7/1962,16:06:00,Thor DM-19 Delta,OSO-1,Retired,,Success
151,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",3/7/1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,,Success
152,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",3/16/1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,,Success
153,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",4/6/1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,,Success
154,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",4/9/1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,,Success
155,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",4/18/1962,0:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,,Success
156,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",4/23/1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,,Success
157,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",4/24/1962,4:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,,Success
158,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/26/1962,10:02:00,Vostok,Cosmos 4,Retired,,Success
159,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",4/26/1962,10:49:00,Scout X-2,Solrad 4B,Retired,,Failure
160,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",4/26/1962,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,,Success
161,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",4/26/1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,,Success
162,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",4/29/1962,0:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,,Success
163,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",5/8/1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,,Failure
164,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",5/10/1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,,Failure
165,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",5/15/1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,,Success
166,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",5/24/1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,,Success
167,US Air Force,"SLC-5, Vandenberg AFB, California, USA",5/24/1962,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,,Failure
168,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",5/28/1962,3:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,,Success
169,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",5/30/1962,1:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,,Success
170,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/1/1962,9:37:00,Vostok-2,Zenit-2 nâ€ Â­3,Retired,,Failure
171,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",6/2/1962,0:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,,Success
172,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",6/17/1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,,Success
173,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",6/18/1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,,Success
174,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",6/19/1962,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,,Success
175,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",6/23/1962,0:30:00,Thor DM-21 Agena-B,FTV 1129,Retired,,Success
176,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",6/28/1962,1:09:00,Thor DM-21 Agena-D,FTV 1151,Retired,,Success
177,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",6/30/1962,16:00:00,Cosmos-2I (63S1),Cosmos 6,Retired,,Success
178,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",7/10/1962,8:35:00,Thor DM-19 Delta,Telstar 1,Retired,,Success
179,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",7/18/1962,20:15:00,Atlas-LV3 Agena-B,Samos 9,Retired,,Success
